#index,mass_MeV,Heavy_Mediator_PL_90p_UpperLimit
0,0.53,1.34519820355679E-27
1,0.5621,3.32754613199588E-28
2,0.5961,1.05924816086136E-28
3,0.6323,3.84639011469095E-29
4,0.67063,1.73788448044335E-29
5,0.71127,9.33601853171709E-30
6,0.754374,5.20249074255981E-30
7,0.8,3.04755321164384E-30
8,0.8485758,1.82919981882427E-30
9,0.9,1.09357174532844E-30
10,1,2.83372618844394E-31
11,1.6378,8.84748848019046E-34
12,2.68269,2.10641327774121E-35
13,4.39397,1.31811908069896E-36
14,7.1968,3.41423281782325E-37
15,11.78768,2.0317622674004E-37
16,19.306977,1.93964147717774E-37
17,31.62277,2.35681373578388E-37
18,51.7947,3.19106465225207E-37
19,84.8342898,4.69488224726726E-37
20,138.9495,7.27854729227205E-37
21,227.584593,1.15404520661107E-36
22,372.759372,1.83709887451579E-36
23,610.54023,2.94849725101756E-36
24,1000,4.86614544751955E-36
